Registration Number,Timestamp,Face Verification Time (Seconds)
99220041389,2026-01-26T15:22:54.920423,0.747
99220041389,2026-01-26T15:23:19.478878,0.7179
99220041253,2026-01-26T15:23:52.555702,0.712
99220041389,2026-01-26T15:23:54.954252,0.958
99220041253,2026-01-26T15:24:20.778932,0.692
99220041253,2026-01-26T15:24:23.299436,0.951
99220041253,2026-01-26T15:24:24.838217,0.949
99220041253,2026-01-26T15:24:26.477932,0.949
99220041246,2026-01-26T15:26:40.617563,0.691
99220041246,2026-01-26T15:26:48.707823,0.987
99220041246,2026-01-26T15:26:50.540284,0.930
99220041389,2026-01-26T15:26:51.686217,0.933
